phenotype,H2
TotC,1.601276721246496e-14
TotC_30,0.06080118715050292
POMC,0.12013139149582573
MAOMC,0.10104774469001065
TotC_st,0.13855597785249754
TotC_st_30,3.601125025091869e-15
POMC_st,0.2567948600177887
MAOMC_st,0.2371078261163475
soil_CN,0.009643322262831553
BD,0.227007065546246
CEC,0
base_sat,0.0026782701282109496
pH_soil,0.28641670388796053
agb,0.5938224826271404
root_CN,0.47219866967783314
Lig,0
Al_ppm_root,0.7764712077897025
Al_ppm_soil,0.10413025683490117
B_ppm_root,0.5680067584169686
Cu_ppm_root,0.22153541493035153
Cu_ppm_soil,0.13320341504402433
Fe_ppm_root,0.6098099830918117
Fe_ppm_soil,0
Mn_ppm_root,0.10629401904285314
Mn_ppm_soil,0.48586044509974247
Na_ppm_root,0.26422556269019554
Na_ppm_soil,0.5465712332906988
Ni_ppm_root,0.4089246508874215
Ni_ppm_soil,0.10070385951571378
pCa_root,0.6538692540849393
pCa_soil,0.16193036986380313
pK_root,0.11222847817900994
pK_soil,0
pMg_root,0.6772482839126528
pMg_soil,0.4278824588122159
pP_root,0.3077151078845897
pP_soil,0.6912824184568752
pS_root,0.16489942589189927
Zn_ppm_root,0.263078501877155
Zn_ppm_soil,0.3406582180084849
