analysis,name,model,method,genotype,value,lb,ub,sd
Heritability,TotC_st,full,raw,BESC-102,1.456098323979266,-7.4811188191715186,10.39331546713005,NA
Heritability,TotC_st,full,raw,BESC-119,-0.8813263627051992,-10.822775278565997,9.0601225531556,NA
Heritability,TotC_st,full,raw,BESC-13,-1.635779357748408,-10.572996500899192,7.301437785402376,NA
Heritability,TotC_st,full,raw,BESC-131,3.2984808053789325,-5.638736337771851,12.235697948529717,NA
Heritability,TotC_st,full,raw,BESC-133,-0.776714271243295,-9.713931414394079,8.16050287190749,NA
Heritability,TotC_st,full,raw,BESC-144,0.005017508897163407,-8.932199634253621,8.942234652047947,NA
Heritability,TotC_st,full,raw,BESC-145,0.04529139402853045,-8.891925749122253,8.982508537179315,NA
Heritability,TotC_st,full,raw,BESC-192,-0.33862158246846824,-9.275838725619252,8.598595560682316,NA
Heritability,TotC_st,full,raw,BESC-2,-1.7723474745082513,-10.709564617659035,7.164869668642533,NA
Heritability,TotC_st,full,raw,BESC-265,2.1483685017067944,-6.788848641443989,11.085585644857579,NA
Heritability,TotC_st,full,raw,BESC-319,2.3117024535018382,-6.625514689648946,11.248919596652623,NA
Heritability,TotC_st,full,raw,BESC-35,5.133578702654703,-3.803638440496081,14.070795845805488,NA
Heritability,TotC_st,full,raw,BESC-351,1.883749777049579,-7.053467366101205,10.820966920200362,NA
Heritability,TotC_st,full,raw,BESC-36,-2.0924028846170626,-11.029620027767846,6.844814258533722,NA
Heritability,TotC_st,full,raw,BESC-388,1.3688490075385522,-7.568368135612232,10.306066150689336,NA
Heritability,TotC_st,full,raw,BESC-833,-1.3396147442822721,-10.276831887433056,7.597602398868512,NA
Heritability,TotC_st,full,raw,BESC-841,1.5416472121131592,-7.395569931037625,10.478864355263944,NA
Heritability,TotC_st,full,raw,BESC-876,0.2210029110855628,-9.178331772868798,9.620337595039924,NA
Heritability,TotC_st,full,raw,BESC-897,1.2297360242357762,-7.707481118915008,10.166953167386561,NA
Heritability,TotC_st,full,raw,GW-11026,-0.7284667569842845,-9.665683900135068,8.2087503861665,NA
Heritability,TotC_st,full,raw,GW-9768,-9.836934337542655,-18.77415148069344,-0.8997171943918705,NA
Heritability,TotC_st,full,raw,GW-9776,-1.2239336828055627,-10.161150825956346,7.713283460345221,NA
Heritability,TotC_st,full,raw,GW-9854,-1.7724951253216896,-10.709712268472474,7.164722017829094,NA
Heritability,TotC_st,full,raw,SLMC-28-2,1.7551139580575053,-7.182103185093279,10.692331101208289,NA
Average,TotC_st,avg,raw,BESC-102,8.896517702928236,-0.7080997155614384,18.50113512141791,8.317842678042572
Average,TotC_st,avg,raw,BESC-119,-10.611364840437169,NA,NA,NA
Average,TotC_st,avg,raw,BESC-13,-8.49350051881109,-25.92026674387003,8.933265706247852,15.092022256713685
Average,TotC_st,avg,raw,BESC-131,19.192171827991757,15.845831799535924,22.53851185644759,2.898015474343493
Average,TotC_st,avg,raw,BESC-133,-7.6259997265615524,-35.08359413723066,19.831594684107557,23.77897428644906
Average,TotC_st,avg,raw,BESC-144,4.963752525690708,-2.1802589410804014,12.107763992461818,6.18689541515111
Average,TotC_st,avg,raw,BESC-145,2.1129653691874637,-9.881622372423342,14.10755311079827,10.387617692156375
Average,TotC_st,avg,raw,BESC-192,-3.3705660265298576,-29.861874453873142,23.120742400813427,22.94214607756807
Average,TotC_st,avg,raw,BESC-2,-5.942105474289953,-40.40534028267595,28.521129334096045,29.846036840650402
Average,TotC_st,avg,raw,BESC-265,8.773920158518038,3.569202473124407,13.97863784391167,4.507417735077028
Average,TotC_st,avg,raw,BESC-319,7.825436053704294,-4.1506753687354685,19.80154747614406,10.371616730385822
Average,TotC_st,avg,raw,BESC-35,22.821548861733675,-5.780683430752447,51.423781154219796,24.770259770236603
Average,TotC_st,avg,raw,BESC-351,4.999686007556846,-3.2746801839930715,13.274052199106764,7.165811322097325
Average,TotC_st,avg,raw,BESC-36,-2.957287924307039,-22.84255749248359,16.92798164386951,17.221148607142506
Average,TotC_st,avg,raw,BESC-388,-3.254860245371823,-44.021574623275974,37.51185413253233,35.30501028008932
Average,TotC_st,avg,raw,BESC-833,-3.2946180298209242,-24.103073276881137,17.51383721723929,18.02065085746574
Average,TotC_st,avg,raw,BESC-841,0.08950609404777765,-13.832728439040896,14.01174062713645,12.057008783099773
Average,TotC_st,avg,raw,BESC-876,6.0114705640808666,-11.969985628101533,23.992926756263266,15.572397859466957
Average,TotC_st,avg,raw,BESC-897,2.0858981498662104,-24.433970874778115,28.605767174510536,22.966880280378028
Average,TotC_st,avg,raw,GW-11026,-2.1667287093131407,-15.127595920267327,10.794138501641045,11.224440259763089
Average,TotC_st,avg,raw,GW-9768,-32.44393229480819,-35.3640640657711,-29.52380052384528,2.5289082960519242
Average,TotC_st,avg,raw,GW-9776,-5.032751390285576,-35.63778033299569,25.572277552424534,26.504732547944954
Average,TotC_st,avg,raw,GW-9854,-9.450883520254706,-27.34633218228231,8.444565141772898,15.497913153436146
Average,TotC_st,avg,raw,SLMC-28-2,6.871725385485163,-3.8820362772164874,17.625487048186812,9.313030786142813
